序号,物料大类,条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
102,,10001081,红牛维生素功能饮料/普通型/250ML/24/29周年普通箱内码二期/2024,,成品,,,,,,0,已启用,1.000,,,否,否
103,,10001060,红牛维生素功能饮料/普通型/250ML/24/1元换购-新疆青海/2024,,成品,,,,,,0,已启用,1.000,,,否,否
104,,10001054,红牛维生素功能饮料/普通型/250ML/24/扫码促销-台州2元回收/2024,,成品,,,,,,0,已启用,1.000,,,否,否
105,,10000000,红牛维生素功能饮料/普通型/250ml/24,,成品,,,,,,0,已启用,1.000,,,否,否
106,,10001059,红牛维生素功能饮料/普通型/250ML/24/扫码促销-含箱内码/2024,,成品,,,,,,0,已启用,1.000,,,否,否
107,,10001058,红牛维生素功能饮料/普通型/250ML/扫码促销/六罐装/2024,,成品,,,,,,0,已启用,0.250,,,否,否
108,,10001057,红牛维生素功能饮料/普通型/250ML/24/扫码促销/2024,,成品,,,,,,0,已启用,1.000,,,否,否
109,,11000234,战马/400ML/15/不含气/2024/1元乐享LPL版,,成品,,,,,,0,已启用,1.000,,,否,否
110,,10001056,红牛维生素功能饮料/普通型/250ML/24/29周年普通箱内码/2024,,成品,,,,,,0,已启用,1.000,,,否,否
111,,11000231,战马/310ML/24/罐装/2024无箱内码/1元乐享-篮球,,成品,,,,,,0,已启用,1.000,,,否,否
112,,11000230,战马/310ML/24/罐装/2024箱内码/1元乐享-篮球,,成品,,,,,,0,已启用,1.000,,,否,否
113,,10001053,红牛维生素功能饮料/普通型/250ML/24/广东促销/2024,,成品,,,,,,0,已启用,1.000,,,否,否
114,,好智粒1*15,好智粒1*15,,成品,,,,,,0,已启用,0.000,,,否,否
115,,好智粒1*24,好智粒1*24,,成品,,,,,,0,已启用,0.000,,,否,否
116,,好智粒1*12,好智粒1*12,,成品,,,,,,0,已启用,0.000,,,否,否
117,,80000114,进口芙丝天然泉水/12/850ml/Still,,成品,,,,,,0,已启用,1.000,,,否,否
118,,80000103,进口气泡果味水/8罐/355ml/柠檬黄瓜味,,成品,,,,,,0,已启用,1.000,,,否,否
119,,80000102,进口气泡果味水/8罐/355ml/草莓生姜味,,成品,,,,,,0,已启用,1.000,,,否,否
120,,80000070,进口芙丝苏打水/12/375ml/Sparkling-柑橘柠檬草味,,成品,,,,,,0,已启用,1.000,,,否,否
121,,80000015,进口芙丝天然泉水/24/500ml/Still,,成品,,,,,,0,已启用,1.000,,,否,否
122,,80000014,进口芙丝天然泉水/24/330ml/Still,,成品,,,,,,0,已启用,1.000,,,否,否
123,,80000013,进口芙丝天然泉水/12/800ml/Still,,成品,,,,,,0,已启用,1.000,,,否,否
124,,80000012,进口芙丝天然泉水/24/375ml/Still,,成品,,,,,,0,已启用,1.000,,,否,否
125,,80000011,进口芙丝苏打水/12/800ml/Sparkling,,成品,,,,,,0,已启用,1.000,,,否,否
126,,80000010,进口芙丝苏打水/24/375ml/Sparkling,,成品,,,,,,0,已启用,1.000,,,否,否
127,,81000177,国产/风味饮料/500ML/15瓶/夏黑葡萄味,,成品,,,,,,0,已启用,1.000,,,否,否
128,,81000175,国产/风味饮料/500ML/15瓶/黄柠檬青柠,,成品,,,,,,0,已启用,1.000,,,否,否
129,,81000172,国产/风味饮料/500ML/15瓶/樱花白桃味,,成品,,,,,,0,已启用,1.000,,,否,否
130,,81000204,国产/芙丝水500ML/24瓶装/静安璞隽联标,,成品,,,,,,0,已启用,1.000,,,否,否
131,,81000200,国产/芙丝水500ML/24瓶装/沙漠钻石联标,,成品,,,,,,0,已启用,1.000,,,否,否
132,,81000199,国产/芙丝水330ML/24瓶装/白膜/割箱-厦航专供,,成品,,,,,,0,已启用,1.000,,,否,否
133,,81000162,国产/芙丝水375ML/20瓶/玻璃瓶/黑珍珠联名,,成品,,,,,,0,已启用,1.000,,,否,否
134,,81000152,国产/芙丝水375ML/20瓶装/玻璃瓶,,成品,,,,,,0,已启用,1.000,,,否,否
135,,81000144,国产/芙丝水375ML/12瓶装/柑橘柠檬草,,成品,,,,,,0,已启用,1.000,,,否,否
136,,81000122,国产/芙丝水375ML/12瓶装/玻璃瓶,,成品,,,,,,0,已启用,1.000,,,否,否
137,,81000121,国产/芙丝水375ML/24瓶装/玻璃瓶,,成品,,,,,,0,已启用,1.000,,,否,否
138,,81000093,国产/芙丝蛋白肽气泡水249ml/12罐装/香茅味,,成品,,,,,,0,已启用,1.000,,,否,否
139,,81000120,芙丝蛋白肽/249ML*6*2/香茅,,成品,,,,,,0,已启用,1.000,,,否,否
140,,81000119,芙丝蛋白肽/249ML*6/香茅,,成品,,,,,,0,已启用,1.000,,,否,否
141,,81000092,国产/芙丝蛋白肽气泡水249ml/12罐装/荔枝玫瑰味,,成品,,,,,,0,已启用,1.000,,,否,否
142,,81000118,芙丝蛋白肽/249ML*6*2/荔枝玫瑰,,成品,,,,,,0,已启用,1.000,,,否,否
143,,81000117,芙丝蛋白肽/249ML*6/荔枝玫瑰,,成品,,,,,,0,已启用,1.000,,,否,否
144,,81000108,国产/芙丝气泡水330ML/12瓶装/青提葡萄/含投奖卡,,成品,,,,,,0,已启用,1.000,,,否,否
145,,81000107,国产/芙丝气泡水330ML/12瓶装/樱花白桃/含投奖卡,,成品,,,,,,0,已启用,1.000,,,否,否
146,,81000106,国产/芙丝气泡水330ML/12瓶装/青柠生姜/含投奖卡,,成品,,,,,,0,已启用,1.000,,,否,否
147,,81000193,国产/芙丝气泡水330ML/12瓶装/荔枝香橙,,成品,,,,,,0,已启用,1.000,,,否,否
148,,81000105,国产/芙丝气泡水330ML/12瓶装/柠檬黄瓜,,成品,,,,,,0,已启用,1.000,,,否,否
149,,81000104,国产/芙丝气泡水330ML/12瓶装/青提葡萄,,成品,,,,,,0,已启用,1.000,,,否,否
150,,81000103,国产/芙丝气泡水330ML/12瓶装/樱花白桃,,成品,,,,,,0,已启用,1.000,,,否,否
151,,81000102,国产/芙丝气泡水330ML/12瓶装/青柠生姜,,成品,,,,,,0,已启用,1.000,,,否,否
152,,81000101,国产/芙丝气泡水330ML/24瓶装/柠檬黄瓜,,成品,,,,,,0,已启用,1.000,,,否,否
153,,81000100,国产/芙丝气泡水330ML/24瓶装/青提葡萄,,成品,,,,,,0,已启用,1.000,,,否,否
154,,81000099,国产/芙丝气泡水330ML/24瓶装/樱花白桃,,成品,,,,,,0,已启用,1.000,,,否,否
155,,81000096,国产/芙丝气泡水330ML/24瓶装/青柠生姜,,成品,,,,,,0,已启用,1.000,,,否,否
156,,81000164,国产/芙丝水330ML/24瓶装/滴滴联标/牛皮纸,,成品,,,,,,0,已启用,1.000,,,否,否
157,,81000161,国产/芙丝水330ML/30瓶装/电商纯享,,成品,,,,,,0,已启用,1.000,,,否,否
158,,81000160,国产/芙丝水500ML/20瓶装/电商纯享,,成品,,,,,,0,已启用,1.000,,,否,否
159,,81000130,国产/芙丝水330ML/24瓶装/万达瑞华联标,,成品,,,,,,0,已启用,1.000,,,否,否
160,,81000126,国产/芙丝水500ML/24瓶装/出口澳门,,成品,,,,,,0,已启用,1.000,,,否,否
161,,81000125,国产/芙丝水330ML/24瓶装/出口澳门,,成品,,,,,,0,已启用,1.000,,,否,否
162,,81000038,国产/芙丝水500ML/24瓶装/出口新加坡,,成品,,,,,,0,已启用,1.000,,,否,否
163,,81000039,国产/芙丝水330ML/24瓶装/出口新加坡,,成品,,,,,,0,已启用,1.000,,,否,否
164,,81000060,国产/芙丝水4L/4瓶装,,成品,,,,,,0,已启用,1.000,,,否,否
165,,81000064,国产/芙丝水330ML/24瓶装/电商/品鉴,,成品,,,,,,0,已启用,1.000,,,否,否
166,,81000030,国产/芙丝水500ML/12瓶装/白膜,,成品,,,,,,0,已启用,1.000,,,否,否
167,,81000195,国产/芙丝水330ML/24瓶装/WHDH联标,,成品,,,,,,0,已启用,1.000,,,否,否
168,,81000194,国产/芙丝水330ML/24瓶装/LUX酒店联名,,成品,,,,,,0,已启用,1.000,,,否,否
169,,81000190,国产/芙丝水330ML/24瓶装/特供装,,成品,,,,,,0,已启用,1.000,,,否,否
170,,81000003,国产/芙丝水330ML/24瓶装/白膜,,成品,,,,,,0,已启用,1.000,,,否,否
171,,81000001,国产/芙丝水330ML/24瓶装,,成品,,,,,,0,已启用,1.000,,,否,否
172,,81000192,国产/芙丝水500ML/24瓶装/特供装,,成品,,,,,,0,已启用,1.000,,,否,否
173,,81000141,国产/芙丝水500ML/24瓶装/红韵/圣诞装,,成品,,,,,,0,已启用,1.000,,,否,否
174,,81000114,国产/芙丝水500ML/24瓶装/长江河湖联标,,成品,,,,,,0,已启用,1.000,,,否,否
175,,81000113,国产/芙丝水500ML/24瓶装/便利蜂联标,,成品,,,,,,0,已启用,1.000,,,否,否
176,,81000090,国产/芙丝水500ML/24瓶装/红韵,,成品,,,,,,0,已启用,1.000,,,否,否
177,,81000002,国产/芙丝水500ML/24瓶装/白膜,,成品,,,,,,0,已启用,1.000,,,否,否
178,,81000000,国产/芙丝水500ML/24瓶装,,成品,,,,,,0,已启用,1.000,,,否,否
179,,70000124,唯他可可椰子水/原味/310ml/罐装,,成品,,,,,,0,已启用,1.000,,,否,否
180,,70000121,唯他可可椰子水/醇香风味/500ml/PET瓶装,,成品,,,,,,0,已启用,1.000,,,否,否
181,,70000060,唯他可可椰子水/原味/500ml/六瓶装,,成品,,,,,,0,已启用,1.000,,,否,否
182,,70000051,唯他可可椰子水/原味/500ml,,成品,,,,,,0,已启用,1.000,,,否,否
183,,70000050,唯他可可椰子水/蜂蜜味/330ml,,成品,,,,,,0,已启用,1.000,,,否,否
184,,70000045,唯他可可椰子水/菠萝味/330ml,,成品,,,,,,0,已启用,1.000,,,否,否
185,,70000043,唯他可可椰子水/原味/330ml/航空专用,,成品,,,,,,0,已启用,1.000,,,否,否
186,,70000041,唯他可可椰子水/原味/1L/航空专用,,成品,,,,,,0,已启用,1.000,,,否,否
187,,70000128,唯他可可椰子水/凤梨口味/330ml,,成品,,,,,,0,已启用,1.000,,,否,否
188,,70000123,唯他可可椰子水/醇香风味/330ml/利乐瓶装,,成品,,,,,,0,已启用,1.000,,,否,否
189,,70000071,唯他可可椰子水/原味/330ml/天猫专供,,成品,,,,,,0,已启用,1.000,,,否,否
190,,70000002,唯他可可椰子水/原味/330ml,,成品,,,,,,0,已启用,1.000,,,否,否
191,,70000001,唯他可可椰子水/原味/1L,,成品,,,,,,0,已启用,1.000,,,否,否
192,,60000235,果倍爽/樱桃复合果汁/330ML/文案装,,成品,,,,,,0,已启用,1.000,,,否,否
193,,60000234,果倍爽/红葡萄汁/330ML/文案装,,成品,,,,,,0,已启用,1.000,,,否,否
194,,60000233,果倍爽/橙汁/330ML/文案装,,成品,,,,,,0,已启用,1.000,,,否,否
195,,60000022,果倍爽/樱桃复合果汁/330ML,,成品,,,,,,0,已启用,1.000,,,否,否
196,,60000021,果倍爽/红葡萄汁/330ML,,成品,,,,,,0,已启用,1.000,,,否,否
197,,60000020,果倍爽/橙汁/330ML,,成品,,,,,,0,已启用,1.000,,,否,否
198,,60000256,果倍爽/猕猴桃复合果汁/六袋装/200ML/果小包盲盒,,成品,,,,,,0,已启用,1.000,,,否,否
199,,60000255,果倍爽/黑加仑复合果汁/六袋装/200ML/果小包盲盒,,成品,,,,,,0,已启用,1.000,,,否,否
200,,60000254,果倍爽/桃苹果复合果汁/六袋装/200ML/果小包盲盒,,成品,,,,,,0,已启用,1.000,,,否,否
201,,60000253,果倍爽/梨汁/六袋装/200ML/果小包盲盒,,成品,,,,,,0,已启用,1.000,,,否,否
202,,60000252,果倍爽/白葡萄汁/六袋装/200ML/果小包盲盒,,成品,,,,,,0,已启用,1.000,,,否,否
203,,60000251,果倍爽/橙汁/六袋装/200ML/果小包盲盒,,成品,,,,,,0,已启用,1.000,,,否,否
204,,60000217,果倍爽/猕猴桃复合果汁/六袋装/200ML/2020年整箱促销,,成品,,,,,,0,已启用,1.000,,,否,否
205,,60000216,果倍爽/黑加仑复合果汁/六袋装/200ML/2020年整箱促销,,成品,,,,,,0,已启用,1.000,,,否,否
206,,60000215,果倍爽/桃苹果复合果汁/六袋装/200ML/2020年整箱促销,,成品,,,,,,0,已启用,1.000,,,否,否
207,,60000214,果倍爽/梨汁/六袋装/200ML/2020年整箱促销,,成品,,,,,,0,已启用,1.000,,,否,否
208,,60000213,果倍爽/白葡萄汁/六袋装/200ML/2020年整箱促销,,成品,,,,,,0,已启用,1.000,,,否,否
209,,60000211,果倍爽/橙汁/六袋装/200ML/2020年整箱促销,,成品,,,,,,0,已启用,1.000,,,否,否
210,,60000171,果倍爽/橙汁/六袋装/200ML/果小包,,成品,,,,,,0,已启用,1.000,,,否,否
211,,60000221,果倍爽/橙汁/六袋装/200ML/运动版果小包,,成品,,,,,,0,已启用,1.000,,,否,否
212,,60000185,果倍爽/猕猴桃复合果汁/六袋装/200ML/2019开箱有礼,,成品,,,,,,0,已启用,1.000,,,否,否
213,,60000184,果倍爽/黑加仑复合果汁/六袋装/200ML/2019开箱有礼,,成品,,,,,,0,已启用,1.000,,,否,否
214,,60000183,果倍爽/桃苹果复合果汁/六袋装/200ML/2019开箱有礼,,成品,,,,,,0,已启用,1.000,,,否,否
215,,60000182,果倍爽/梨汁/六袋装/200ML/2019开箱有礼,,成品,,,,,,0,已启用,1.000,,,否,否
216,,60000181,果倍爽/白葡萄汁/六袋装/200ML/2019开箱有礼,,成品,,,,,,0,已启用,1.000,,,否,否
217,,60000180,果倍爽/橙汁/六袋装/200ML/2019开箱有礼,,成品,,,,,,0,已启用,1.000,,,否,否
218,,60000091,果倍爽/猕猴桃复合果汁/200ML,,成品,,,,,,0,已启用,1.000,,,否,否
219,,60000090,果倍爽/黑加仑复合果汁/200ML,,成品,,,,,,0,已启用,1.000,,,否,否
220,,60000003,果倍爽/桃苹果复合果汁/200ML,,成品,,,,,,0,已启用,1.000,,,否,否
221,,60000002,果倍爽/梨汁/200ML,,成品,,,,,,0,已启用,1.000,,,否,否
222,,60000001,果倍爽/白葡萄汁/200ML,,成品,,,,,,0,已启用,1.000,,,否,否
223,,60000000,果倍爽/橙汁/200ML,,成品,,,,,,0,已启用,1.000,,,否,否
224,,11000182,战马/180ML/24/罐装/含气/柠檬味,,成品,,,,,,0,已启用,1.000,,,否,否
225,,11000181,战马/180ML/24/罐装/含气/西柚味,,成品,,,,,,0,已启用,1.000,,,否,否
