检验类别,品牌/类型,检验项目,英文名称,标准值,单位,类型说明,下限值,上限值,误差限,排序
纸皮进货检验,红牛,尺寸⑨,,43±1,mm,带误差限,43,0,1,0
纸皮进货检验,红牛,尺寸⑩,,398±1,mm,带误差限,398,0,1,0
纸皮进货检验,红牛,箱内二维码长度,,=20,mm,固定值,20,0,0.0000,0
纸皮进货检验,红牛,箱内二维码宽度,,=20,mm,固定值,20,0,0.0000,0
纸皮进货检验,红牛,重量,,区间:180~240,g,区间,180,240,0,0
纸皮进货检验,红牛-强化型,重量,,区间:180~189,g,区间,180,189,2,0
纸皮进货检验,红牛-强化型,箱内二维码长度,,=20,mm,固定值,20,0,0.0000,0
纸皮进货检验,红牛-强化型,箱内二维码宽度,,=20,mm,固定值,20,0,0.0000,0
纸皮进货检验,红牛-强化型,尺寸①,,57±2,mm,带误差限,57,0,2,0
纸皮进货检验,红牛-强化型,尺寸②,,135±2,mm,带误差限,135,0,2,0
纸皮进货检验,红牛-强化型,尺寸③,,214±2,mm,带误差限,214,0,2,0
纸皮进货检验,红牛-强化型,尺寸④,,135±2,mm,带误差限,135,0,2,0
纸皮进货检验,红牛-强化型,尺寸⑤,,214±2,mm,带误差限,214,0,2,0
纸皮进货检验,红牛-强化型,尺寸⑥,,40±2,mm,带误差限,40,0,2,0
纸皮进货检验,红牛-强化型,尺寸⑦,,321±2,mm,带误差限,321,0,2,0
纸皮进货检验,红牛-强化型,尺寸⑧,,445±2,mm,带误差限,445,0,2,0
纸皮进货检验,红牛-强化型,尺寸⑨,,62±2,mm,带误差限,62,0,2,0
纸皮进货检验,红牛-强化型,尺寸⑩,,318±2,mm,带误差限,318,0,2,0
纸皮进货检验,战马,重量,,222±1,g,带误差限,,,,1
纸皮进货检验,战马,箱内二维码长度,,=20,mm,固定值,,,,2
纸皮进货检验,战马,箱内二维码宽度,,=20,mm,固定值,,,,3
纸皮进货检验,战马,尺寸①,,71±2,mm,带误差限,,,,4
纸皮进货检验,战马,尺寸②,,151±2,mm,带误差限,,,,5
纸皮进货检验,战马,尺寸③,,240±2,mm,带误差限,,,,6
纸皮进货检验,战马,尺寸④,,153±2,mm,带误差限,,,,7
纸皮进货检验,战马,尺寸⑤,,239±2,mm,带误差限,,,,8
纸皮进货检验,战马,尺寸⑥,,40±2,mm,带误差限,,,,9
纸皮进货检验,战马,尺寸⑦,,495±2,mm,带误差限,,,,10
纸皮进货检验,战马,尺寸⑧,,353±2,mm,带误差限,,,,11
纸皮进货检验,战马,尺寸⑨,,71±2,mm,带误差限,,,,12
纸皮进货检验,战马,尺寸⑩,,349±2,mm,带误差限,,,,13
战马空罐检验,战马-罐装,内涂膜,,-,mA,最大值,,,,1
战马空罐检验,战马-罐装,罐体高度,,-,mm,区间,,,,2
战马空罐检验,战马-罐装,翻边宽度,,-,mm,区间,,,,3
战马空罐检验,战马-罐装,底拱高度,,-,mm,区间,,,,4
战马空罐检验,战马-罐装,缩颈内径,,-,mm,区间,,,,5
战马空罐检验,战马-罐装,罐体轴向承压力,,-,N,最小值,,,,6
战马空罐检验,战马-罐装,罐底耐压强度,,-,kPa,带误差限,,,,7
香精入厂检测记录,上海宝开生物科技有限公司,外观及理化检测信息-色度,,≥50,-,最小值,50,,,2
香精入厂检测记录,上海宝开生物科技有限公司,外观及理化检测信息-Brix,,区间:39.10~41.10,%,区间,39.10,41.10,,3
香精入厂检测记录,上海宝开生物科技有限公司,外观及理化检测信息-密度,,区间:0.9108~0.9308,g/cm²,区间,0.9108,0.9308,,4
香精入厂检测记录,上海宝开生物科技有限公司,感官及重金属检测信息-铅,,≤10,mg/kg,最大值,10,,,7
香精入厂检测记录,上海宝开生物科技有限公司,感官及重金属检测信息-砷,,≤3,mg/kg,最大值,3,,,8
香精入厂检测记录,上海宝开生物科技有限公司,感官及重金属检测信息-香气,,-,g/cm²,,,,,5
香精入厂检测记录,上海宝开生物科技有限公司,感官及重金属检测信息-口感,,-,g/cm²,,,,,6
香精入厂检测记录,杭州安赛生物科技有限公司,外观及理化检测信息-色度,,≥50,-,最小值,50,,,2
香精入厂检测记录,杭州安赛生物科技有限公司,外观及理化检测信息-Brix,,区间:41.70~43.70,%,区间,41.70,43.70,,3
香精入厂检测记录,杭州安赛生物科技有限公司,外观及理化检测信息-密度,,区间:0.9180~0.9380,g/cm²,区间,0.9180,0.9380,,4
香精入厂检测记录,杭州安赛生物科技有限公司,感官及重金属检测信息-铅,,≤10,mg/kg,最大值,10,,,7
香精入厂检测记录,杭州安赛生物科技有限公司,感官及重金属检测信息-砷,,≤3,mg/kg,最大值,3,,,8
香精入厂检测记录,杭州安赛生物科技有限公司,感官及重金属检测信息-香气,,-,g/cm²,,,,,5
香精入厂检测记录,杭州安赛生物科技有限公司,感官及重金属检测信息-口感,,-,g/cm²,,,,,6
香精入厂检测记录,艾地盟香精（平湖）有限公司,外观及理化检测信息-色度,,≥50,-,最小值,50,,,2
香精入厂检测记录,艾地盟香精（平湖）有限公司,外观及理化检测信息-Brix,,区间:41.10~42.90,%,区间,41.10,42.90,,3
