物料大类,条码/物料编码,图片,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
综合物资,5400000390,,石英坩埚（无盖）,"外直径40mm，底直径25mm，
高度55mm，30mL",化验耗材,个,,,,,0,已启用,,,,否,否
综合物资,5400000389,,250单口圆底烧瓶（如图）,口径规格24/29，250mL,化验耗材,个,,,,,0,已启用,,,,否,否
综合物资,5400000388,,铁架台+双顶丝+烧瓶夹,,化验耗材,个,,,,,0,已启用,,,,否,否
综合物资,5400000387,,冷凝管夹,"全长270mm
杆长175mm
杆直径8mm
最大开口65mm",化验耗材,个,,,,,0,已启用,,,,否,否
综合物资,5400000386,,双顶丝,总长100mm，可嘉宽度17mm,化验耗材,个,,,,,0,已启用,,,,否,否
综合物资,5500000013,,吸水胶条后,W19-01500010,修理,条,智科伟顿,,,,0,已启用,,,,否,否
综合物资,5500000012,,吸水胶条前,W19-01500009,修理,条,智科伟顿,,,,0,已启用,,,,否,否
综合物资,5600000081,,立式消毒柜,120R01,资产,个,,,,,0,已启用,,,,否,是
综合物资,5600000080,,单人水池,304不锈钢 高780mm宽420mm长500mm,资产,个,,,,,0,已启用,,,,否,否
综合物资,5600000079,,铁书柜,长1000mm高950mm深300mm，3层上拉门,资产,个,,,,,0,已启用,,,,否,否
综合物资,5600000078,,风幕机,/FM6012A-1.2M,资产,台,,,,,0,已启用,,,,否,否
综合物资,5600000077,,六门更衣柜,304不锈钢,资产,个,,,,,0,已启用,,,,否,否
综合物资,5600000076,,四门更衣柜,304不锈钢,资产,个,,,,,0,已启用,,,,否,否
综合物资,5600000075,,三门更衣柜,304不锈钢,资产,个,,,,,0,已启用,,,,否,否
综合物资,5600000074,,两门更衣柜,304不锈钢,资产,个,,,,,0,已启用,,,,否,否
综合物资,5600000073,,六轮爬楼车,40L气瓶用,资产,个,,,,,0,已启用,,,,否,否
综合物资,5600000072,,气瓶柜,"三瓶气瓶柜，白色，一代报警
长1200*宽450*高1900mm",资产,个,,,,,0,已启用,,,,否,否
综合物资,5600000071,,无纸化温度记录仪,KSD工业级，12路隔离+软件U盘(KSD12A0R),资产,个,,,,,0,已启用,,,,否,是
其他,8000003772,,二车间灌装机组三线自动下盖机,,生产设备,台,,,,,0,已启用,,,,否,否
其他,8000003771,,三车间灌装机组五线自动下盖机,,生产设备,台,,,,,0,已启用,,,,否,否
其他,8000003770,,三车间灌装机组六线自动下盖机,,生产设备,台,,,,,0,已启用,,,,否,否
原材料,20002171,,顶盖/战马/线上1元乐享2025/新包,177480个/托,包材,个,,,730,30,0,已启用,,,,否,否
成品,11000334,,战马/310ML/24/罐装/2025/广东扫码红包-新包装,100箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000322,,战马/310ML/24/罐装/2025/广东扫码1元乐享-新包装,100箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000321,,战马/310ML/24/罐装/新包装,100箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000312,,战马/310ML/24/罐装/2025/线上1元乐享（含箱码）-新包装,100箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000304,,战马/310ML/24/罐装/2025/线上1元乐享/二段（无箱码）,100箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000303,,战马/310ML/24/罐装/2025/线上1元乐享/二段（含箱码）,100箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000301,,战马/310ML/24/罐装/2025/1元乐享/二段（无箱码,100箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000300,,战马/310ML/24/罐装/2025/1元乐享/二段（含箱码,100箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
综合物资,20000007-PFZ,,苯甲酸钠,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20001058-PFZ,,天草,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20001059-PFZ,,天行健,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20001956-PFZ,,杭州茗宝,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20001060-PFZ,,重庆骄王,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20000006-PFZ,,牛磺酸,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20000892-PFZ,,d-核糖,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20000890-PFZ,,维生素C,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20000008-PFZ,,维生素B6,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20000010-PFZ,,烟酰胺,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20000991-PFZ,,诱惑红,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20000990-PFZ,,柠檬黄,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20000004-PFZ,,柠檬酸钠,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20000003-PFZ,,柠檬酸,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20000879-PFZ,,艾地盟,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20001805-PFZ,,香山,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20001056-PFZ,,宝开,,配方,袋,,,,,0,已启用,,,,否,否
综合物资,20001057-PFZ,,安赛,,内容物,袋,,,,,0,已启用,,,,否,否
原材料,20002194,,空罐/战马/310ML/广东扫码红包2025/新包装/无顶盖 ,7590个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002128,,顶盖/战马/线上1元乐享2025/二段,177480个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002127,,顶盖/战马/1元乐享2025/二段,177480个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002124,,空罐/战马/310ML/1元乐享2025/二段/无顶盖,7590个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002196,,纸箱/战马/罐装/广东扫码红包2025/新包装-含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
