物料大类,条码/物料编码,图片,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
综合物资,5200000011,,橡胶消防水带/20米左右,,安防,条,,其他,,,0,已启用,,,140.0,否,否
综合物资,5200000010,,室外道路转弯广角镜/60CM,,安防,个,泰安,其他,,,0,已启用,,,180.0,否,否
综合物资,5200000009,,护目眼镜/CKY-134护目镜,,安防,个,,其他,,,0,已启用,,,28.0,否,否
综合物资,5200000008,,防护耳罩（1426）/3M,,安防,个,,其他,,,0,已启用,,,45.0,否,否
综合物资,5200000007,,防毒面具/3M 3200,,安防,个,,其他,,,0,已启用,,,42.0,否,否
综合物资,5200000006,,棒球帽头盔安全帽,,安防,个,,其他,,,0,已启用,,,45.0,否,否
综合物资,5200000005,,罩式安全帽/星工（白色）,,安防,个,,其他,,,0,已启用,,,48.0,否,否
综合物资,5200000004,,安全带延长带/20cm,,安防,条,,其他,,,0,已启用,,,80.0,否,否
综合物资,5200000003,,过滤式消防自救呼吸器/TZL30,,安防,个,持安,其他,,,0,已启用,,,69.0,否,否
综合物资,5200000002,,防丙酮手套/NS500,,安防,双,,其他,,,0,已启用,,,178.0,否,否
综合物资,5200000001,,防撞帽/SR-1030,,安防,顶,赛锐,其他,,,0,已启用,,,58.0,否,否
原材料,20002065,,顶盖/战马/线上1元乐享2025,177480个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002023,,顶盖/战马/1元乐享2025,177480个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20001887,,顶盖/战马/1元乐享2024,177480个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20000959,,顶盖/战马/普通型,177480个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20001854,,顶盖/战马/广东云南促销,177480个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20000958,,空罐/战马/普通型/310ML/无顶盖,7590个/托,包材,个,,原材料,730,30,0,已启用,,,0.56,否,否
原材料,20001853,,空罐/战马/310ML/广东云南促销-篮球/无顶盖,7590个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20001886,,空罐/战马/310ML/1元乐享2024-篮球/无顶盖,7590个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20001743,,空罐/战马/310ML/常规-篮球/无顶盖,7590个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002022,,空罐/战马/310ML/线上1元乐享2025/无顶盖,7590个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002021,,空罐/战马/310ML/1元乐享2025/无顶盖,7590个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20000888,,机用胶带/战马,10卷/箱,包材,卷,,原材料,730,30,0,已启用,,,38.46,否,否
原材料,20000962,,热缩膜/罐装/战马,420MM*0.06*50KG,包材,KG,,原材料,730,30,0,已启用,,,13.0,否,否
原材料,20001889,,纸箱/战马/罐装/1元乐享2024-篮球-不含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,1.92,否,否
原材料,20001855,,纸箱/战马/罐装/广东云南促销-篮球,1200张/托,包材,张,,原材料,730,30,0,已启用,,,1.92,否,否
原材料,20001888,,纸箱/战马/罐装/1元乐享2024-篮球-含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,1.92,否,否
原材料,20001758,,纸箱/战马/罐装/1元乐享2023-LPL女版,1200张/托,包材,张,,原材料,730,30,0,已启用,,,1.92,否,否
原材料,20001755,,纸箱/战马/罐装/1元乐享2023-LPL男版,1200张/托,包材,张,,原材料,730,30,0,已启用,,,1.92,否,否
原材料,20001754,,纸箱/战马/罐装/常规-篮球,1200张/托,包材,张,,原材料,730,30,0,已启用,,,1.92,否,否
原材料,20001752,,纸箱/战马/罐装/1元乐享2023-篮球,1200张/托,包材,张,,原材料,730,30,0,已启用,,,1.92,否,否
原材料,20002070,,纸箱/战马/罐装/线上1元乐享2025-不含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,1.92,否,否
原材料,20002069,,纸箱/战马/罐装/线上1元乐享2025-含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,1.92,否,否
原材料,20002067,,纸箱/战马/罐装/1元乐享2025-不含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,1.92,否,否
原材料,20002066,,纸箱/战马/罐装/1元乐享2025-含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,1.92,否,否
原材料,20000961,,纸箱/战马/罐装,1200张/托,包材,张,,原材料,730,30,0,已启用,,,1.92,否,否
综合物资,20000890,,维生素C/战马,25kg/箱,内容物,KG,,原材料,1095,90,0,已启用,,,58.11,否,否
综合物资,20000892,,D-核糖/战马,25kg/桶,内容物,KG,,原材料,730,90,0,已启用,,,87.74,否,否
综合物资,20001956,,速溶咖啡粉（≥10%）/战马/杭州茗宝,20kg/箱,内容物,KG,,原材料,730,90,0,已启用,,,203.0,否,否
综合物资,20001060,,速溶咖啡粉（≥10%）/战马/重庆骄王,20kg/箱,内容物,KG,,原材料,730,90,0,已启用,,,241.37,否,否
综合物资,20001059,,速溶咖啡粉（≥10%）/战马/天行健,20kg/箱,内容物,KG,,原材料,730,90,0,已启用,,,241.37,否,否
综合物资,20001058,,速溶咖啡粉（≥10%）/战马/天草,20kg/箱,内容物,KG,,原材料,730,90,0,已启用,,,241.37,否,否
综合物资,20000991,,诱惑红/战马,4kg/箱,内容物,G,,原材料,1825,90,0,已启用,,,0.17,否,否
综合物资,20000990,,柠檬黄/国产/战马,5kg/箱,内容物,G,,原材料,1825,90,0,已启用,,,0.89,否,否
综合物资,20000879,,复合水果香精/战马/艾地盟,180kg/桶,内容物,KG,,原材料,365,90,0,已启用,,,110.0,否,否
综合物资,20000992,,RBMT0906/VB12/战马,100g/听,内容物,G,,原材料,1825,90,0,已启用,,,,否,否
原材料,20000195,,顶盖/206,173250片/板,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002052,,顶盖/206/2025/1元换购-广西,173250片/板,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002050,,顶盖/206/2025广东扫码中红包,173250片/板,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002043,,顶盖/206/2025广东促销,173250片/板,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20000022,,底盖/200,207030片/板,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002051,,空罐/普通型/250ML/2025年1元换购-广西/无顶盖,8740个/托,包材,个,,原材料,720,30,0,已启用,,,1.02,否,否
原材料,20002049,,空罐/普通型/250ML/2025广东扫码中红包/无顶盖,8740个/托,包材,个,,原材料,720,30,0,已启用,,,1.02,否,否
原材料,20002042,,空罐/普通型/250ML/2025广东促销/无顶盖,8740个/托,包材,个,,原材料,720,30,0,已启用,,,1.02,否,否
原材料,20002029,,空罐/强化型/250ml/蓝色/30周年版/无底盖,7475个/托,包材,个,,原材料,720,30,0,已启用,,,1.0,否,否
原材料,20002028,,空罐/普通型/250ML/30周年版/无顶盖,8740个/托,包材,个,,原材料,720,30,0,已启用,,,1.01,否,否
原材料,20000032,,热熔胶,25kg/袋,包材,KG,,原材料,365,30,0,已启用,,,26.49,否,否
原材料,20000031,,机用胶带,10卷/箱,包材,卷,,原材料,730,30,0,已启用,,,35.89,否,否
原材料,20001880,,热缩膜/六罐装/29周年版,50kg/卷,包材,KG,,原材料,730,30,0,已启用,,,24.0,否,否
原材料,20002036,,热缩膜/六罐装/30周年版,50kg/卷,包材,KG,,原材料,730,30,0,已启用,,,24.0,否,否
原材料,20000029,,热缩膜/375mm,45kg/卷,包材,KG,,原材料,730,30,0,已启用,,,14.0,否,否
原材料,20000503,,热缩膜/900MM,70kg/卷,包材,KG,,原材料,730,30,0,已启用,,,12.0,否,否
原材料,20000028,,热缩膜/450mm,35kg/卷,包材,KG,,原材料,730,30,0,已启用,,,10.0,否,否
原材料,20002079,,纸皮/普通型/250ML/24/1元换购-广西/2025,2000张/托,包材,张,,原材料,730,30,0,已启用,,,1.88,否,否
原材料,20002078,,纸皮/普通型/250ML/24/扫码中红包-广东箱内码专供/2025,2000张/托,包材,张,,原材料,730,30,0,已启用,,,1.88,否,否
原材料,20002074,,纸皮/普通型/250ML/24/30周年普通箱内码/2025,2000张/托,包材,张,,原材料,730,30,0,已启用,,,1.88,否,否
原材料,20002044,,纸皮/普通型/250ML/24/广东促销/2025,2000张/托,包材,张,,原材料,730,30,0,已启用,,,1.88,否,否
原材料,20002034,,纸皮/普通型/250ML/24/30周年/24年广东箱内码三期,2000张/托,包材,张,,原材料,730,30,0,已启用,,,1.88,否,否
原材料,20002033,,纸皮/强化型/250ml/蓝色/30周年版,2000张/托,包材,张,,原材料,730,30,0,已启用,,,1.88,否,否
原材料,20002031,,纸皮/普通型/250ML/30周年版/六罐装/包装,2000张/托,包材,张,,原材料,730,30,0,已启用,,,1.46,否,否
原材料,20002030,,纸皮/普通型/250ML/24/30周年版,2000张/托,包材,张,,原材料,730,30,0,已启用,,,1.88,否,否
综合物资,20001925,,RBMT1118,900kg/桶,内容物,KG,,原材料,540,90,0,已启用,,,106.19,否,否
综合物资,20001805,,RBMT1117,180kg/桶,内容物,KG,,原材料,365,90,0,已启用,,,112.0,否,否
综合物资,20001057,,RBMT1115,180kg/桶,内容物,KG,,原材料,1095,90,0,已启用,,,116.0,否,否
综合物资,20001056,,RBMT1114,180kg/桶,内容物,KG,,原材料,365,90,0,已启用,,,116.0,否,否
综合物资,20000537,,RBMT1113,180kg/桶,内容物,KG,,原材料,360,90,0,已启用,,,126.49,否,否
综合物资,20000865,,RBMT1209,5000g/箱,内容物,G,,原材料,1825,90,0,已启用,,,0.89,否,否
综合物资,20000864,,RBMT1310,5kg/箱,内容物,KG,,原材料,1825,90,0,已启用,,,89.74,否,否
综合物资,20000010,,RBMT1008,20kg/箱,内容物,KG,,原材料,1095,90,0,已启用,,,80.0,否,否
综合物资,20000009,,RBMT0906,100g/听,内容物,G,,原材料,1825,90,0,已启用,,,56.83,否,否
综合物资,20000008,,RBMT0807,25000g/桶,内容物,G,,原材料,1095,90,0,已启用,,,0.14,否,否
综合物资,20000007,,RBMT0701,25kg/袋,内容物,KG,,原材料,730,90,0,已启用,,,11.11,否,否
综合物资,20000006,,RBMT0603,25kg/箱,内容物,KG,,原材料,1095,90,0,已启用,,,20.08,否,否
综合物资,20000005,,RBMT0502,25kg/桶,内容物,KG,,原材料,1825,90,0,已启用,,,66.66,否,否
综合物资,20000004,,RBMT0411,25kg/袋,内容物,KG,,原材料,1095,90,0,已启用,,,7.26,否,否
综合物资,20000003,,RBMT0312,25kg/袋,内容物,KG,,原材料,1095,90,0,已启用,,,7.26,否,否
综合物资,20000002,,RBMT0204,25kg/桶,内容物,KG,,原材料,730,90,0,已启用,,,34.18,否,否
综合物资,20000001,,RBMT0105,25kg/桶,内容物,KG,,原材料,1460,90,0,已启用,,,66.0,否,否
综合物资,20001824,,RBMT0002,,内容物,KG,,原材料,365,30,0,已启用,,,5.0,否,否
综合物资,20001810,,RBMT0001,1000kg/袋,内容物,KG,,原材料,548,90,0,已启用,,,5.0,否,否
综合物资,20000000,,RBMT0000,50kg/袋,内容物,KG,,原材料,548,90,0,已启用,,,6.11,否,否
综合物资,8000002102,,灭菌器,,特种设备,个,,,,,0,已启用,,,,否,否
综合物资,8000002101,,液氮罐,,特种设备,个,,,,,0,已启用,,,,否,否
综合物资,8000002100,,分气缸,,特种设备,个,,,,,0,已启用,,,,否,否
综合物资,8000002099,,储气罐,,特种设备,个,,,,,0,已启用,,,,否,否
综合物资,8000002098,,蒸汽管道,,特种设备,套,,,,,0,已启用,,,,否,否
综合物资,8000002097,,压力容器,,特种设备,个,,,,,0,已启用,,,,否,否
综合物资,8000002096,,天然气管道,,特种设备,套,,,,,0,已启用,,,,否,否
综合物资,8000002095,,电梯,,特种设备,台,,,,,0,已启用,,,,否,否
综合物资,8000002094,,电瓶叉车,J2.0UT,特种设备,台,海斯特,,,,0,已启用,,,,否,否
综合物资,8000002093,,电瓶叉车,J2.00EX,特种设备,台,海斯特,,,,0,已启用,,,,否,否
综合物资,8000002092,,电瓶叉车,J1.50EX,特种设备,台,海斯特,,,,0,已启用,,,,否,否
综合物资,8000002091,,柴油叉车,H1.5TX,特种设备,台,海斯特,,,,0,已启用,,,,否,否
成品,11000273,,战马/310ML/24/罐装/2025/线上1元乐享（无箱码）,100箱/托,成品,罐,,FERTE成品,540,90,0,已启用,,,1.0,否,否
成品,11000272,,战马/310ML/24/罐装/2025/线上1元乐享（含箱码）,100箱/托,成品,罐,,FERTE成品,540,90,0,已启用,,,1.0,否,否
成品,11000268,,战马/310ML/24/罐装/2025/1元乐享（无箱码）,100箱/托,成品,罐,,FERTE成品,540,90,0,已启用,,,1.0,否,否
成品,11000267,,战马/310ML/24/罐装/2025/1元乐享（含箱码）,100箱/托,成品,罐,,FERTE成品,540,90,0,已启用,,,1.0,否,否
成品,11000011,,战马/310ML/24/罐装,100箱/托,成品,罐,,FERTE成品,540,90,0,已启用,,,1.0,否,否
成品,10001132,,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2025,150箱/托,成品,罐,,成品,540,90,0,已启用,,,1.5,否,否
成品,10001129,,红牛维生素功能饮料/普通型/250ML/24/广东扫码中红包/2025,150箱/托,成品,罐,,成品,540,90,0,已启用,,,1.5,否,否
成品,10001105,,红牛维生素功能饮料/普通型/250ML/24/30周年普通箱内码/2025,150箱/托,成品,罐,,成品,540,90,0,已启用,,,1.5,否,否
成品,10001134,,红牛维生素功能饮料/普通型/250ML/24/广东促销/2025,150箱/托,成品,罐,,成品,540,90,0,已启用,,,1.5,否,否
成品,10001117,,红牛维生素功能饮料/牛磺酸强化型/250ml/24/30周年纪念装,100箱/托,成品,罐,,成品,540,90,0,已启用,,,1.58,否,否
成品,10001116,,红牛维生素功能饮料/普通型/250ML/六罐装/30周年,150箱/托,成品,罐,,成品,540,90,0,已启用,,,1.0,否,否
成品,10001114,,红牛维生素功能饮料/普通型/250ML/24/30周年纪念装,150箱/托,成品,罐,,成品,540,90,0,已启用,,,1.49,否,否
原材料,20002167,,纸皮/普通型/250ML/24/30周年普通箱内码二期/2025,2000张/托,包材,张,,原材料,730,90,0,已启用,,,1.0,否,否
原材料,20002166,,纸皮/普通型/250ML/24/30周年广东二期箱内码,2000张/托,包材,张,,原材料,730,90,0,已启用,,,1.0,否,否
原材料,20002165,,纸皮/普通型/250ML/24/广东促销2025（含二期箱码）,2000张/托,包材,张,,原材料,730,90,0,已启用,,,1.0,否,否
成品,10001165,,红牛维生素功能饮料/普通型/250ML/24/30周年普通箱内码二期/2025,150箱/托,成品,罐,,FERTE成品,540,90,0,已启用,,,,否,否
成品,10001164,,红牛维生素功能饮料/普通型/250ML/24/30周年广东二期箱内码,150箱/托,成品,罐,,FERTE成品,540,90,0,已启用,,,,否,否
其他,7000001697,,水泵系统原水泵房6#原水供应泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001696,,水泵系统原水泵房5#原水供应泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001695,,水泵系统原水泵房4#原水供应泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001694,,水泵系统原水泵房3#原水供应泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001693,,水泵系统原水泵房2#原水供应泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001692,,水泵系统原水泵房1#原水供应泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001691,,水泵系统原水泵房2#变频控制柜,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001690,,水泵系统原水泵房1#变频控制柜,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001689,,水泵系统原水泵房房主电源柜,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001688,,水泵系统原水泵房,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001687,,水泵系统中水泵房3#备用消防水泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001686,,水泵系统中水泵房2#消防水泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001685,,水泵系统中水泵房1#消防水泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001684,,水泵系统中水泵房控制柜,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001683,,水泵系统中水泵房继电器控制柜,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001682,,水泵系统中水泵房主电源柜,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001681,,水泵系统中水泵房,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001680,,水泵系统深井泵房2#变频控制柜,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001679,,水泵系统深井泵房1#变频控制柜,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001678,,水泵系统深井泵房3#高压泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001677,,水泵系统深井泵房2#高压泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001676,,水泵系统深井泵房1#高压泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001675,,水泵系统深井泵房,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001674,,水泵系统,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001673,,车间空压间PALL蒸汽过滤器,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001672,,车间空压间PALL空气过滤器,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001671,,车间空压间PALL除油除水滤芯,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001670,,空气压缩机系统三车间空压机排风管道雪花铁板及管道管网安装,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001669,,空气压缩机系统三车间空压机轴流风机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001668,,空气压缩机系统三车间空压机蒸汽过滤器,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001667,,空气压缩机系统三车间空压机除菌过滤器精,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001666,,空气压缩机系统三车间空压机除菌过滤器预,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001665,,空气压缩机系统三车间空压机高级精密过滤器二期),,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001664,,空气压缩机系统三车间空压机中级精密过滤器(二期),,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001663,,空气压缩机系统三车间空压机初级精密过滤器(二期),,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001662,,空气压缩机系统三车间压缩空气储气罐,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001661,,空气压缩机系统三车间冷凝水干燥机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001660,,空气压缩机系统三车间3#双螺杆空气压缩机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001659,,空气压缩机系统三车间2#双螺杆空气压缩机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001658,,空气压缩机系统三车间1#双螺杆空气压缩机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001657,,空气压缩机系统三车间空压机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001656,,空气压缩机系统二车间空压机排风管道雪花铁板及管道管网安装,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001655,,空气压缩机系统二车间空压机轴流风机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001654,,空气压缩机系统二车间空压机蒸汽过滤器,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001653,,空气压缩机系统二车间空压机除菌过滤器精,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001652,,空气压缩机系统二车间空压机除菌过滤器预,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001651,,空气压缩机系统二车间空压机高级精密过滤器二期),,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001650,,空气压缩机系统二车间空压机中级精密过滤器(二期),,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001649,,空气压缩机系统二车间空压机初级精密过滤器(二期),,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001648,,空气压缩机系统二车间压缩空气储气罐,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001647,,空气压缩机系统二车间冷凝水干燥机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001646,,空气压缩机系统二车间3#双螺杆空气压缩机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001645,,空气压缩机系统二车间2#双螺杆空气压缩机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001644,,空气压缩机系统二车间1#双螺杆空气压缩机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001643,,空气压缩机系统二车间空压机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001642,,空气压缩机系统一车间PALL蒸汽过滤器,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001641,,空气压缩机系统一车间PALL空气过滤器,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001640,,空气压缩机系统一车间PALL除油除水滤芯,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001639,,空气压缩机系统一车间压缩空气储气罐,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001638,,空气压缩机系统一车间冷凝水干燥机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001637,,空气压缩机系统一车间3#双螺杆空气压缩机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001636,,空气压缩机系统一车间2#双螺杆空气压缩机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001635,,空气压缩机系统一车间1#双螺杆空气压缩机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001634,,空气压缩机系统一车间空压机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001633,,蒸汽系统三车间蒸汽房蒸汽计量,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001632,,蒸汽系统三车间蒸汽房疏水阀组,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001631,,蒸汽系统三车间蒸汽房分汽缸,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001630,,蒸汽系统三车间蒸汽房,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001629,,蒸汽系统二车间蒸汽房蒸汽计量,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001628,,蒸汽系统二车间蒸汽房疏水阀组,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001627,,蒸汽系统二车间蒸汽房分汽缸,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001626,,蒸汽系统二车间蒸汽房,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001625,,蒸汽系统一车间蒸汽房蒸汽计量,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001624,,蒸汽系统一车间蒸汽房疏水阀组,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001623,,蒸汽系统一车间蒸汽房分汽缸,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001622,,蒸汽系统一车间蒸汽房,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001621,,蒸汽系统锅炉房储汽缸,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001620,,蒸汽系统锅炉房2#燃气蒸汽锅炉,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001619,,蒸汽系统锅炉房1#燃气蒸汽锅炉,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001618,,蒸汽系统锅炉房,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001617,,污水处理车间扩展模块西门子,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001616,,污水处理车间风管阀组,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001615,,污水处理车间外框及支架）,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001614,,污水处理车间污水处理便携式DO仪,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001613,,污水处理车间液位计,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001612,,污水处理车间膜组管阀件,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001611,,污水处理车间集水装置,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001610,,污水处理车间压力变送器,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001609,,污水处理车间污泥压滤系统污泥压滤液压泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001608,,污水处理车间污泥压滤系统污泥压滤机电控柜,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001607,,污水处理车间污泥压滤系统,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001606,,污水处理车间反洗系统产水泵C,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001605,,污水处理车间反洗系统产水泵B,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001604,,污水处理车间反洗系统产水泵A,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001603,,污水处理车间反洗系统反洗过滤器,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001602,,污水处理车间反洗系统反洗泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001601,,污水处理车间反洗系统反洗储水罐,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001600,,污水处理车间反洗系统,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001599,,污水处理车间外排系统巴歇尔流量槽,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001598,,污水处理车间外排系统外排超声波明渠流量计,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001597,,污水处理车间外排系统,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001596,,污水处理车间加药系统NaClO添加,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001595,,污水处理车间加药系统柠檬酸添加,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001594,,污水处理车间加药系统絮疑济添加,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001593,,污水处理车间加药系统碱添加,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001592,,污水处理车间加药系统,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001591,,污水处理车间压缩空气系统空气压缩机,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001590,,污水处理车间压缩空气系统储气罐,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001589,,污水处理车间压缩空气系统,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001588,,污水处理车间曝气系统MBR生化池日曝气盘,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001587,,污水处理车间曝气系统MBR生化池MBR膜,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001586,,污水处理车间曝气系统三叶罗茨风机D,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001585,,污水处理车间曝气系统三叶罗茨风机C,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001584,,污水处理车间曝气系统三叶罗茨风机B,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001583,,污水处理车间曝气系统三叶罗茨风机A,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001582,,污水处理车间曝气系统,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001581,,污水处理车间进水系统集水井提升泵,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001580,,污水处理车间进水系统除污格栅,,生产设备,个,,,,,0,已启用,,,,否,否
其他,7000001579,,污水处理车间进水系统,,生产设备,个,,,,,0,已启用,,,,否,否
