序号,物料大类,条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
360,食材,80000290,干八角,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
361,食材,80000289,干虾皮,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
362,食材,6902890224457,火腿肠,1.6kg*20根,冻货类,包,中红,,365,,0,已启用,,,25.00,否,否
363,食材,80000287,干香菇,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
364,食材,80000286,干花生米,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
365,食材,80000285,干龙口粉丝,2.5kg/包,干货调料类,包,巧理,,720,,0,已启用,,,4.00,否,否
366,食材,80000284,干糯米,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
367,食材,80000283,干小米,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
368,食材,80000282,干豇豆,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
369,食材,80000281,干海带,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
370,食材,80000280,干芸豆,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
371,食材,80000279,干四季豆米,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
372,食材,80000278,小干木耳,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
373,食材,80000277,大木耳,0.001,蔬菜类,KG,,,,,2,已启用,,,0.00,否,否
374,食材,80000276,干豆腐皮,0.001,干货调料类,KG,,,,,1,已启用,,,0.00,否,否
375,食材,80000275,干刨豆腐,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
376,食材,80000274,优酸乳果粒酸奶,245g*12,干货调料类,件,伊利,,180,,0,已启用,,,36.00,否,否
377,食材,6927770901235,纯牛奶(外箱250mLX16),250毫升X16/件,干货调料类,件,山花,,180,,0,已启用,,,48.00,否,否
378,食材,6918149325417,丹丹郫县红油豆瓣[1x20],10kg/件,调料,件,丹丹,,360,,0,已启用,,,115.00,否,否
379,食材,80000271,桂花酱,250,干货调料类,瓶,桂城荣记,,360,,2,已启用,0.000,,6.00,否,否
380,食材,80000270,红花椒面,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
