u{FEFF}条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
"40046301","UPVC手动蝶阀","DN65","污水系统","个","","",1095,90,0,"已启用",,5,,"否","否"
"40046300","链道齿轮","10B 孔30mm，键槽8mm 21齿","链道系统","个","","",1095,90,0,"已启用",,10,,"否","否"
"40046299","链道齿轮","10B 孔30mm，键槽8mm 19齿","链道系统","个","","",1095,90,0,"已启用",,10,,"否","否"
"40046298","链道齿轮","10B 孔30mm，键槽8mm 17齿","链道系统","个","","",1095,90,0,"已启用",,5,,"否","否"
"40046297","304不锈钢潜污泵","50WQ10-10-0.75F(Y)/配弯头","污水系统","台","南方泵业","",1095,90,0,"已启用",,5,,"否","否"
"40046296","变频器","KALE-C100","通用电器件","个","","",1095,90,0,"已启用",,5,,"否","否"
"40046295","SMI机器内存条","8GX8 DDR3L","包装机","个","","",1095,90,0,"已启用",,5,,"否","否"
"40046294","带座轴承","SB204+PFL204","热缩机","个","","",1095,90,0,"已启用",,5,,"否","否"
"40046293","接近开关","IIT231","灌装机","个","IFM","",1095,90,0,"已启用",,5,,"否","否"
"40046292","流量计连接电缆","EVT399","灌装机","条","IFM","",1095,90,0,"已启用",0.000,5,,"否","否"
"40046291","螺杆泵定子转子套件","（C1XKC11RMA）","污水系统","套","","",1095,90,0,"已启用",,7,,"否","否"
"40046290","电动隔膜泵","不锈钢304/BFDP-50PTFF/DN50","污水系统","台","固德","",1095,90,0,"已启用",,14,,"否","否"
"40046289","轴承","6306-2Z","灌装机","个","SKF","",1095,90,0,"已启用",,7,,"否","否"
"40046288","氟胶骨架油封","30*52*7","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046287","不锈钢气动直接","PC4-01","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046286","不锈钢气动弯头(可旋转)","PL4-M5","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046285","不锈钢气动弯头(可旋转)","PL6-M5","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046284","不锈钢气动弯头(可旋转)","PL4-01","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046283","散热风扇","5915PC-23T-B30（220V）","光检机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046282","污水电机","YE3-90L-2,2.2KW","污水系统","台","士林","",1095,90,0,"已启用",0.000,7,,"否","否"
"40046279","安全阀弹簧","SV60/DN65/7.5-10.5barg","蒸汽间","个","斯派莎克","",1095,90,0,"已启用",,10,,"否","否"
"40046278","智能型定位器","SP7 Pro/DN15~DN100","配料系统","个","斯派莎克","",1095,90,0,"已启用",,10,,"否","否"
"40046277","高速风机","HF-2T，3KW，400v","链道系统","台","宏丰","",1095,90,0,"已启用",0.000,7,,"否","否"
"40046276","润滑油压力检测开关","PN7092","封口机","个","IFM","",1095,90,0,"已启用",,7,,"否","否"
"40046275","温度传感器","0-150度，4-20mA(2-wire),DC10-30v","灌装机","个","BRIGHT","",1095,90,0,"已启用",,7,,"否","否"
"40046273","液位传感器","YC-131,0-10M,4-20mA,12-36V","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046272","溶解氧电极","TriOxmatic690","污水系统","个","WTW","",1095,90,0,"已启用",,7,,"否","否"
"40046271","变频器控制面板","EN600","称料系统","个","易能","",1095,90,0,"已启用",,14,,"否","否"
"40046270","导条（纸箱仓护板）","MA312593","包装机","个","SMI","",1095,90,0,"已启用",0.000,84,,"否","否"
"40046099","链条导轨","MA903146","热缩机","个","SMI","",1095,90,0,"已启用",0.000,112,,"否","否"
"40046098","弹簧","MF101177","热缩机","个","SMI","",1095,90,0,"已启用",,112,,"否","否"
"40046097","辊子","MA112410","热缩机","个","SMI","",1095,90,0,"已启用",,112,,"否","否"
"40046096","导条","MA311629","热缩机","个","SMI","",1095,90,0,"已启用",,112,,"否","否"
"40046095","O型圈","920024630","封口机","个","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40046089","在线PH电极","PH8012/5米电缆/污水系统/B类","污水系统","个","","",,,0,"已启用",,,,"否","否"
"40045796","平键条","9*14/1米/根","通用机械备件","根","","",1095,90,0,"已启用",,5,,"否","否"
"40045769","齿轮","5-5450210","灌装机","个","CFT","",1095,90,0,"已启用",0.000,112,,"否","否"
"40045768","软管","5-8956293","灌装机","根","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40045767","软管","5-8956203","灌装机","根","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40045766","软管","5-8956202","灌装机","根","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40045765","软管","5-8953164","灌装机","根","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40045764","软管","5-8952473","灌装机","根","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40045801","驱动链轮","08B 14齿双排","封箱机","个","友联","",1095,90,0,"已启用",,14,,"否","否"
"40045797","304不锈钢变径","φ51mm-φ76mm","链道系统","个","","",1095,90,0,"已启用",,5,,"否","否"
"40045795","氟胶骨架油封","25*40*7","链道系统","个","","",1095,90,0,"已启用",,5,,"否","否"
"40045794","轴承","6205-2Z","链道系统","个","SKF","",1095,90,0,"已启用",,5,,"否","否"
"40045793","轴承","6305-2Z","链道系统","个","SKF","",1095,90,0,"已启用",,5,,"否","否"
"40045792","工业路由器","4G/R300A","通用电器件","个","","",1095,90,0,"已启用",,5,,"否","否"
"40045791","PLC储存卡","6AV2181-8XP00-0AX0","灌装机","个","西门子","",1095,90,0,"已启用",,5,,"否","否"
"40045790","接线分线端子","自升式接线盒2进12出","制水系统","个","忆顿","",1095,90,0,"已启用",,5,,"否","否"
"40045789","接线分线端子","自升式接线盒2进6出","冷却塔","个","忆顿","",1095,90,0,"已启用",,5,,"否","否"
"40045788","离心泵机械密封","FUA-35","冷却塔","套","","",1095,90,0,"已启用",,5,,"否","否"
"40045787","接触器","CJX2S 2510","冷却塔","个","德力西","",1095,90,0,"已启用",,5,,"否","否"
"40045786","减速器","SA47/10.80","链道系统","个","sew","",1095,90,0,"已启用",,28,,"否","否"
"40045785","主驱动轮带座轴承","UCP217（替2S2119715）","冷却机","个","SKF","",1095,90,0,"已启用",,5,,"否","否"
"40045784","耐高压石棉板","1.5米*1.3米*2mm","通用机械备件","张","正邦","",1095,90,0,"已启用",,5,,"否","否"
"40045783","食品级耐高温编织软管","9.5mm*16.6mm硅胶","灌装机","米","MGW-FLEX","",1095,90,0,"已启用",,5,,"否","否"
"40043667","诺信胶泵维修包","1028304","包装机","套","诺信","",1095,90,0,"已启用",,15,,"否","否"
"40045781","触摸屏","6AV6648-0EE11","自动上盖机","个","西门子","",1095,90,0,"已启用",,7,,"否","否"
"40045780","中效袋式过滤器（F8）","650W*515H*300D","配料系统","个","","",1095,90,0,"已启用",,7,,"否","否"
"40045779","中效袋式过滤器（F8）","490W*592H*381D","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40045778","物料泵","LKH-20,162-SSS-3.0KW","灌装机","台","阿法拉阀","",1095,90,0,"已启用",0.000,56,,"否","否"
"40045777","蝶阀密封","EPDM/φ63.5","灌装机","个","远安","",1095,90,0,"已启用",,5,,"否","否"
"40045776","气动碟阀","D671X-10S/DN50","污水系统","个","simosen","",1095,90,0,"已启用",,3,,"否","否"
"40045775","隔膜泵底座","666270-EEB-C","污水系统","个","","",1095,90,0,"已启用",,14,,"否","否"
"40045774","轴承组合","MG100109","热缩机","个","SMI","",1095,90,0,"已启用",,84,,"否","否"
"40045773","轴承组合","MG100016","热缩机","个","SMI","",1095,90,0,"已启用",,84,,"否","否"
"40045772","弹销","MF102698","热缩机","个","SMI","",1095,90,0,"已启用",,84,,"否","否"
"40045771","滑片","MA297856","热缩机","片","SMI","",1095,90,0,"已启用",,84,,"否","否"
"40045770","真空吸盘支架","ESH-HCL-4-QS","拆包机","个","","",1095,90,0,"已启用",,42,,"否","否"
"40042656","O型圈","2S2189621","灌装机","个","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40038447","键条","2S2203501","封口机","个","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40035322","灌注阀卡簧","2-1350017","灌装机","个","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40041395","储能罐","VS12/Z6038436/AQUASYSTEM","检测设备","个","","",1095,90,0,"已启用",,,,"否","否"
"40043221","补码输送带","宽300MM*2000M*800MM","喷码机","个","","",1095,90,0,"已启用",,,,"否","否"
"40038478","石棉垫2","DN 50 PN10-40/Z0203514","冷却机","个","CFT","",1095,90,0,"已启用",,,,"否","否"
"40038477","石棉垫1","DN 65 PN10-40/Z0203515","冷却机","个","CFT","",1095,90,0,"已启用",,,,"否","否"
"40038476","石棉垫","DN 100 PN16 /5-3700849","冷却机","个","CFT","",1095,90,0,"已启用",,,,"否","否"
"40038475","润滑系统接头","2S2520375","封口机","个","CFT","",1095,90,0,"已启用",,,,"否","否"
"40038472","拖链","NYLON AN355KM/2-2852616","灌装机","个","CFT","",1095,90,0,"已启用",,,,"否","否"
"40038471","罐装阀总成","316 RICIRC.FB MAN/6-8550347","灌装机","个","CFT","",1095,90,0,"已启用",,,,"否","否"
"40038470","进出口多道链板","/XLG-K0340 MCC  /2-0950184","冷却机","个","CFT","",1095,90,0,"已启用",,,,"否","否"
"40038469","压力表","0-4bar/2-2700279","冷却机","个","CFT","",1095,90,0,"已启用",,,,"否","否"
