,序号,操作,主键ID,检测项目代码,适用类型,审批状态,启/禁状态,显示顺序,备注信息
,7,详情 反审 禁用,DREW0018,YF00000008,原材料检测,已完成,启用,--,--
,8,详情 反审 禁用,DREW0017,YF00000007,原材料检测,已完成,启用,--,--
,9,详情 反审 禁用,DREW0016,YF00000006,原材料检测,已完成,启用,--,--
,10,详情 反审 禁用,DREW0015,YF00000005,原材料检测,已完成,启用,--,--
,11,详情 反审 禁用,DREW0014,YF00000004,原材料检测,已完成,启用,--,--
,12,详情 反审 禁用,DREW0013,YF00000003,原材料检测,已完成,启用,--,--
,13,详情 反审 禁用,DREW0012,YF00000002,原材料检测,已完成,启用,--,--
,14,详情 反审 禁用,DREW0011,YF00000001,原材料检测,已完成,启用,--,--
,15,详情 反审 禁用,DREW0010,YC00000010,原材料检测,已完成,启用,--,--
,16,详情 反审 禁用,DREW0009,YC00000009,原材料检测,已完成,启用,--,--
,17,详情 反审 禁用,DREW0008,YC00000008,原材料检测,已完成,启用,--,--
,18,详情 反审 禁用,DREW0007,YC00000007,原材料检测,已完成,启用,--,--
,19,详情 反审 禁用,DREW0006,YC00000006,原材料检测,已完成,启用,--,--
,20,详情 反审 禁用,DREW0005,YC00000005,原材料检测,已完成,启用,--,--
,21,详情 反审 禁用,DREW0004,YC00000004,原材料检测,已完成,启用,--,--
,22,详情 反审 禁用,DREW0003,YC00000003,原材料检测,已完成,启用,--,--
,23,详情 反审 禁用,DREW0002,YC00000002,原材料检测,已完成,启用,--,--
,24,详情 反审 禁用,DREW0001,YC00000001,原材料检测,已完成,启用,--,--
