id,goods_code,goods_name,is_gift,weight,expiry_date,from_date,exp_arr,price,price_expiry_date,price_from_date,price_exp_arr,box_price,box_price_expiry_date,box_price_from_date,box_price_exp_arr
633,81000298,国产/神农明珠天然泉水/500ML/24瓶/无外箱/华彬航空联标,0,,,,[],,,,[],,,,[]
632,81000291,国产/神农明珠天然泉水/500ML/24瓶/无外箱/德高防水联标,0,,,,[],,,,[],,,,[]
631,81000289,国产/神农明珠天然泉水/500ML/24瓶/无外箱/名仕台球联标,0,,,,[],,,,[],,,,[]
630,81000283,国产/神农明珠天然泉水/500ML/24瓶/无外箱/黄石联标,0,,,,[],,,,[],,,,[]
629,81000240,国产/神农明珠天然泉水/500ml/24瓶/无外箱,0,,,,[],,,,[],,,,[]
628,81000310,国产/神农明珠天然泉水/500ML/24瓶/交通银行联标,0,,,,[],,,,[],,,,[]
627,81000304,国产/神农明珠天然泉水/500ML/24瓶/德高防水联标,0,,,,[],,,,[],,,,[]
626,81000294,国产/神农明珠天然泉水/500ML/24瓶/华彬航空联标,0,,,,[],,,,[],,,,[]
625,81000224,国产/神农明珠天然泉水/500ML/24瓶,0,,,,[],,,,[],,,,[]
624,10001193,红牛维生素功能饮料/普通型/250ML/24/新疆专供/2026,0,0.00740,9999-12-31,2026-01-01,"[{'id': 356, 'goods_id': 624, 'weight': '0.00740', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",112.80,9999-12-31,2026-01-01,"[{'id': 18, 'goods_id': 624, 'price': '112.80', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",2.15,9999-12-31,2026-01-01,"[{'id': 15, 'goods_id': 624, 'box_price': '2.15', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
623,10001191,红牛维生素功能饮料/普通型/250ML/六罐装/31周年,0,0.00185,9999-12-31,2026-01-01,"[{'id': 355, 'goods_id': 623, 'weight': '0.00185', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",28.20,9999-12-31,2026-01-01,"[{'id': 17, 'goods_id': 623, 'price': '28.20', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",1.66,9999-12-31,2026-01-01,"[{'id': 14, 'goods_id': 623, 'box_price': '1.66', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
622,10001188,红牛维生素功能饮料/普通型/250ML/24/31周年纪念装,0,0.00740,9999-12-31,2026-01-01,"[{'id': 354, 'goods_id': 622, 'weight': '0.00740', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",112.80,9999-12-31,2026-01-01,"[{'id': 16, 'goods_id': 622, 'price': '112.80', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",2.15,9999-12-31,2026-01-01,"[{'id': 13, 'goods_id': 622, 'box_price': '2.15', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
